


Network Metrics for year 2010

Film                   Btwns Cntr    Degree    Clstr Coef.
wg                                          0         0            156
urbanfoxs                                   0         0            157
artikulo uno                                0         0            158
cine mosaic                                 0         0            159
amplifys                                    0         0            160
amplify                                     0         0            161
monument                                    0         0            162
high top                                    0         0            163
milky way                                   0         0            164
relativity europacorp                       0         0            165
fralitas                                    0         0            166
momentums                                   0         1             10
showtime networks                           0         0            167
in light                                    0         0            168
riverrain                                   0         0            169
filmacres                                   0         0            170
play now enterprise                         0         0            171


Network Metrics for year 2016

Film                               Btwns Cntr    Degree    Clstr Coef.
-------------------------------  ------------  --------  -------------
1                                           0         0              0
warner                                      0         0              1
sony                                        0         0              2
disney                                      0         1              3
universal                                   0         0              4
fox                                         0         0              5
paramount                                   0         0              6
lionsgate                                   0         0              7
focus                                       0         0              8
a24                                         0         1              9
sundance selects                            0         0             10
open roads                                  0         0             11
directv                                     0         1              9
relativity                                  0         0             12
ifc                                         0         0             13
dreamworks                                  0         0             14
kino lorber                                 0         0             15
stx                                         0         0             16
gravitas                                    0         0             17
killers                                     0         0             18
roadside attraction                         0         1             19
china lion                                  0         0             20
europacorp                                  0         0             21
cj                                          0         0             22
magnolia                                    0         0             23
weinstein                                   0         0             24
indican                                     0         0             25
yash rajs                                   0         0             26
nycs                                        0         0             27
likely story                                0         0             28
motto                                       0         0             29
first run                                   0         0             30
bbcs                                        0         0             31
gkids                                       0         0             32
utv                                         0         0             33
film movement                               0         0             34
dog eat dogs                                0         0             35
amazon                                      0         0             36
red crown                                   0         0             37
linn                                        0         0             38
labor                                       0         1             39
drafthouses                                 0         0             40
studio 71                                   0         0             41
broad green                                 0         1             19
parts                                       0         1             39
miramax                                     0         2             19
magnet                                      0         0             42
bona                                        0         0             43
sbs                                         0         0             44
marvista                                    0         0             45
evening star                                0         0             46
conde nast                                  0         0             47
appleps                                     0         0             48
cinegalaxy                                  0         0             49
new life                                    0         0             50
vault                                       0         0             51
rooks                                       0         0             52
det danskeinstitut                          0         0             53
five more minutes                           0         0             54
rhombus                                     0         0             55
argus produktie                             0         0             56
meetais                                     0         0             57
azucars                                     0         0             58
transition                                  0         0             59
telewizja polska                            0         0             60
d sousaporation                             0         0             61
siegal                                      0         0             62
eros                                        0         0             63
dream warrior                               0         0             64
cohen                                       0         0             65
smokehouse                                  0         0             66
ten forwards                                0         0             67
burn later                                  0         0             68
gemellis                                    0         0             69
